review_item_id,priority_rank,priority_score,review_batch_id,priority_reason,vote_event_id,date,session_number,vote_number,numexp,initiative_id,initiative_match_status,initiative_type_code,initiative_type_label,topic_id,topic_label,topic_source,majority_side,total_si,total_no,total_abstenciones,total_blancos,member_votes_total,party_positions_summary,review_status,legal_effect_status,legal_effect_kind,legal_effect_label,legal_effect_confidence,legal_effect_basis,impact_status,responsibility_status,claim_status,evidence_tier,title,review_hint,review_questions,source_url,initiative_source_url,source_locator
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-5,1,104,parliament-vote-review-batch-001,tipo=PL:28; tema=cultura_patrimonio:13; margen_si_no=8:14; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/03/2026:17; total=104,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-5,11/03/2026,79,5,12-25/PL-000011,parlamento-andalucia-12-25-pl-000011,matched_official_initiative,PL,Proyecto de Ley,cultura_patrimonio,Cultura y patrimonio,reviewed_issue_label_seed,si,58,50,0,0,109,"PP:si:si=58,no=0,abs=0; PSOE-A:no:si=0,no=29,abs=0; VOX:no:si=0,no=14,abs=0; PorA:no:si=0,no=5,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_approval_vote,law_final_approval_vote_passed,aprobacion final de ley,high,type=PL;majority=si;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000011, DEBATE FINAL DEL PROYECTO DE LEY DE PATRIMONIO CULTURAL DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201495,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000011&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495::vote:5
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-12,2,99,parliament-vote-review-batch-001,tipo=PL:28; tema=sin_tema:8; margen_si_no=6:14; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=25/02/2026:17; total=99,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-12,25/02/2026,78,12,12-25/PL-000010,parlamento-andalucia-12-25-pl-000010,matched_official_initiative,PL,Proyecto de Ley,campo_agua,Campo y agua,reviewed_issue_label_seed,si,56,50,0,0,109,"PP:si:si=56,no=0,abs=0; PSOE-A:no:si=0,no=30,abs=0; VOX:no:si=0,no=13,abs=0; PorA:no:si=0,no=5,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_approval_vote,law_final_approval_vote_passed,aprobacion final de ley,high,type=PL;majority=si;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000010, DEBATE FINAL DEL PROYECTO DE LEY DE MONTES DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201694,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000010&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694::vote:12
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-13,3,99,parliament-vote-review-batch-001,tipo=PL:28; tema=sin_tema:8; margen_si_no=6:14; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=25/02/2026:17; total=99,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-13,25/02/2026,78,13,12-25/PL-000010,parlamento-andalucia-12-25-pl-000010,matched_official_initiative,PL,Proyecto de Ley,campo_agua,Campo y agua,reviewed_issue_label_seed,si,56,50,0,0,109,"PP:si:si=56,no=0,abs=0; PSOE-A:no:si=0,no=30,abs=0; VOX:no:si=0,no=13,abs=0; PorA:no:si=0,no=5,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_approval_vote,law_final_approval_vote_passed,aprobacion final de ley,high,type=PL;majority=si;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000010, DEBATE FINAL DEL PROYECTO DE LEY DE MONTES DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201694,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000010&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694::vote:13
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-6,4,99,parliament-vote-review-batch-001,tipo=PL:28; tema=sin_tema:8; margen_si_no=6:14; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=25/02/2026:17; total=99,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-6,25/02/2026,78,6,12-25/PL-000009,parlamento-andalucia-12-25-pl-000009,matched_official_initiative,PL,Proyecto de Ley,energia_clima,Energia y clima,reviewed_issue_label_seed,si,56,50,0,0,109,"PP:si:si=56,no=0,abs=0; PSOE-A:no:si=0,no=30,abs=0; VOX:no:si=0,no=13,abs=0; PorA:no:si=0,no=5,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_approval_vote,law_final_approval_vote_passed,aprobacion final de ley,high,type=PL;majority=si;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000009, DEBATE FINAL DEL PROYECTO DE LEY PARA LA GESTIÓN AMBIENTAL DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201694,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000009&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694::vote:6
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-6,5,96,parliament-vote-review-batch-001,tipo=DL:30; tema=fiscalidad:13; margen_si_no=72:4; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/03/2026:17; total=96,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-6,11/03/2026,79,6,12-26/DL-000001,parlamento-andalucia-12-26-dl-000001,matched_official_initiative,DL,Decreto-ley,fiscalidad,Fiscalidad,reviewed_issue_label_seed,si,72,0,36,0,109,"PP:si:si=58,no=0,abs=0; PSOE-A:abstenciones:si=0,no=0,abs=29; VOX:si:si=14,no=0,abs=0; PorA:abstenciones:si=0,no=0,abs=5; ADELANTE ANDALUCIA:abstenciones:si=0,no=0,abs=2",reviewed_vote_result_only,observed_decree_law_validation_vote,decree_law_validation_vote_passed,convalidacion de decreto-ley aprobada,high,type=DL;majority=si;pattern=convalidacion_decreto_ley;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-26/DL-000001, CONVALIDACIÓN O DEROGACIÓN DEL DECRETO-LEY 1/2026, DE 25 DE FEBRERO, POR EL QUE SE ADOPTAN CON CARÁCTER URGENTE MEDIDAS DE APOYO FISCAL POR LOS DAÑOS PRODUCIDOS POR EL IMPACTO DE BORRASCAS EN LA...","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201495,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-26%2FDL-000001&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495::vote:6
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-7,6,96,parliament-vote-review-batch-001,tipo=DL:30; tema=fiscalidad:13; margen_si_no=36:4; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/03/2026:17; total=96,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-7,11/03/2026,79,7,12-26/DL-000001,parlamento-andalucia-12-26-dl-000001,matched_official_initiative,DL,Decreto-ley,fiscalidad,Fiscalidad,reviewed_issue_label_seed,no,36,72,0,0,109,"PP:no:si=0,no=58,abs=0; PSOE-A:si:si=29,no=0,abs=0; VOX:no:si=0,no=14,abs=0; PorA:si:si=5,no=0,abs=0; ADELANTE ANDALUCIA:si:si=2,no=0,abs=0",reviewed_vote_result_only,observed_rejection_vote,decree_law_validation_vote_not_passed_or_derogation_supported,voto no favorable en convalidacion de decreto-ley,high,type=DL;majority=no;pattern=convalidacion_decreto_ley;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-26/DL-000001, CONVALIDACIÓN O DEROGACIÓN DEL DECRETO-LEY 1/2026, DE 25 DE FEBRERO, POR EL QUE SE ADOPTAN CON CARÁCTER URGENTE MEDIDAS DE APOYO FISCAL POR LOS DAÑOS PRODUCIDOS POR EL IMPACTO DE BORRASCAS EN LA...","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201495,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-26%2FDL-000001&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495::vote:7
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-2,7,94,parliament-vote-review-batch-001,tipo=PL:28; tema=cultura_patrimonio:13; margen_si_no=36:4; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/03/2026:17; total=94,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-2,11/03/2026,79,2,12-25/PL-000011,parlamento-andalucia-12-25-pl-000011,matched_official_initiative,PL,Proyecto de Ley,cultura_patrimonio,Cultura y patrimonio,reviewed_issue_label_seed,no,36,72,0,0,109,"PP:no:si=0,no=58,abs=0; PSOE-A:si:si=29,no=0,abs=0; VOX:no:si=0,no=14,abs=0; PorA:si:si=5,no=0,abs=0; ADELANTE ANDALUCIA:si:si=2,no=0,abs=0",reviewed_vote_result_only,observed_rejection_vote,law_final_approval_vote_rejected,rechazo de aprobacion final de ley,high,type=PL;majority=no;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000011, DEBATE FINAL DEL PROYECTO DE LEY DE PATRIMONIO CULTURAL DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201495,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000011&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495::vote:2
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-3,8,94,parliament-vote-review-batch-001,tipo=PL:28; tema=cultura_patrimonio:13; margen_si_no=36:4; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/03/2026:17; total=94,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-3,11/03/2026,79,3,12-25/PL-000011,parlamento-andalucia-12-25-pl-000011,matched_official_initiative,PL,Proyecto de Ley,cultura_patrimonio,Cultura y patrimonio,reviewed_issue_label_seed,no,36,72,0,0,109,"PP:no:si=0,no=58,abs=0; PSOE-A:si:si=29,no=0,abs=0; VOX:no:si=0,no=14,abs=0; PorA:si:si=5,no=0,abs=0; ADELANTE ANDALUCIA:si:si=2,no=0,abs=0",reviewed_vote_result_only,observed_rejection_vote,law_final_approval_vote_rejected,rechazo de aprobacion final de ley,high,type=PL;majority=no;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000011, DEBATE FINAL DEL PROYECTO DE LEY DE PATRIMONIO CULTURAL DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201495,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000011&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495::vote:3
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-4,9,94,parliament-vote-review-batch-001,tipo=PL:28; tema=cultura_patrimonio:13; margen_si_no=80:4; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/03/2026:17; total=94,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495-4,11/03/2026,79,4,12-25/PL-000011,parlamento-andalucia-12-25-pl-000011,matched_official_initiative,PL,Proyecto de Ley,cultura_patrimonio,Cultura y patrimonio,reviewed_issue_label_seed,no,14,94,0,0,109,"PP:no:si=0,no=58,abs=0; PSOE-A:no:si=0,no=29,abs=0; VOX:si:si=14,no=0,abs=0; PorA:no:si=0,no=5,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_rejection_vote,law_final_approval_vote_rejected,rechazo de aprobacion final de ley,high,type=PL;majority=no;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000011, DEBATE FINAL DEL PROYECTO DE LEY DE PATRIMONIO CULTURAL DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201495,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000011&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201495::vote:4
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-200414-4,10,93,parliament-vote-review-batch-001,tipo=PL:28; tema=sin_tema:8; margen_si_no=11:8; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=11/02/2026:17; total=93,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-200414-4,11/02/2026,77,4,12-25/PL-000007,parlamento-andalucia-12-25-pl-000007,matched_official_initiative,PL,Proyecto de Ley,educacion,Educacion,reviewed_issue_label_seed,si,58,47,0,0,109,"PP:si:si=58,no=0,abs=0; PSOE-A:no:si=0,no=30,abs=0; VOX:no:si=0,no=11,abs=0; PorA:no:si=0,no=4,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_approval_vote,law_final_approval_vote_passed,aprobacion final de ley,high,type=PL;majority=si;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000007, DEBATE FINAL DEL PROYECTO DE LEY UNIVERSITARIA PARA ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=200414,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000007&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-200414::vote:4
parliament-vote-impact-review-parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-1,11,89,parliament-vote-review-batch-001,tipo=PL:28; tema=sin_tema:8; margen_si_no=80:4; expediente=matched_official_initiative:14; nominal=109:10; grupos=8; fecha=25/02/2026:17; total=89,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694-1,25/02/2026,78,1,12-25/PL-000009,parlamento-andalucia-12-25-pl-000009,matched_official_initiative,PL,Proyecto de Ley,energia_clima,Energia y clima,reviewed_issue_label_seed,no,13,93,0,0,109,"PP:no:si=0,no=56,abs=0; PSOE-A:no:si=0,no=30,abs=0; VOX:si:si=13,no=0,abs=0; PorA:no:si=0,no=5,abs=0; ADELANTE ANDALUCIA:no:si=0,no=2,abs=0",reviewed_vote_result_only,observed_rejection_vote,law_final_approval_vote_rejected,rechazo de aprobacion final de ley,high,type=PL;majority=no;pattern=debate_final;type_source=official_initiative,outcome_not_reviewed,party_positions_observed,reviewed_legislative_vote_signal_no_merit_claim,tier_1_primary,"12-25/PL-000009, DEBATE FINAL DEL PROYECTO DE LEY PARA LA GESTIÓN AMBIENTAL DE ANDALUCÍA","Triaje legal automatico desde tipo/titulo; confirmar efecto, actores, BOJA/dinero/outcomes y direccion ciudadana antes de puntuar.","vote_subject: Que expediente, enmienda o punto se votaba exactamente? | legal_effect: La mayoria del voto produjo aprobacion, rechazo, convalidacion, enmienda o solo tramite? | responsible_actor: Que grupo, diputado o cargo puede enlazarse como actor responsable con fuente primaria? | impact_evidence_gap: Que BOJA, presupuesto, ejecucion u outcome falta para valorar impacto ciudadano?",https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/pdf.do?tipodoc=diario&id=201694,https://www.parlamentodeandalucia.es/webdinamica/portal-web-parlamento/actividadparlamentaria/todaslasiniciativas/portipo.do?numexp=12-25%2FPL-000009&accion=Ver+iniciativas&desdeanyo=&desdemes=&estado=&hastaanyo=&hastames=&legislatura=12&seleccion=publicadosen&sinpaginacion=1&situacion=&tipoespecifico=&tipogeneral=1,parlamento-andalucia-votacion-https-www-parlamentodeandalucia-es-webdinamica-portal-web-parlamento-pdf-do-tipodoc-diario-id-201694::vote:1
